2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - CryptonioBot v3.0 initialized with 8 trading pairs
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - CRYPTONIO BOT v3.0 - MULTI-CURRENCY MODE
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Active pairs: ['BTCUSD', 'ETHUSD', 'SOLUSD', 'ADAUSD', 'DOTUSD', 'LINKUSD', 'MATICUSD', 'AVAXUSD']
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Paper trading: True
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Max positions: 3
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Daily risk per pair: $10.0
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - Global daily risk: $50.0
2026-03-15 09:53:00,424 - CryptonioBot_v3 - INFO - ============================================================
2026-03-16 06:44:30,751 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:45:30,751 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:46:30,844 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:47:30,844 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:48:30,845 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:49:30,943 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:50:30,943 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:51:30,944 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:52:30,944 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:53:30,944 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:54:30,945 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:55:30,945 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:56:31,038 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:57:31,039 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:58:31,040 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 06:59:31,040 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:00:31,041 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:01:31,041 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:02:31,041 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:03:31,042 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:04:31,043 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:05:31,143 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:06:31,235 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:07:31,236 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:08:31,236 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:09:31,236 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:10:31,237 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:11:31,237 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:12:31,239 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:13:31,334 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:14:31,336 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:15:31,336 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:16:31,337 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:17:31,536 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:18:31,536 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:19:31,643 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:20:31,743 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:21:31,743 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:22:31,832 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:23:31,842 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:24:31,931 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:25:31,933 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:26:31,934 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:27:31,934 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:28:31,936 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:29:31,940 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:30:31,940 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:31:31,941 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:32:32,234 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:33:32,235 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:34:32,237 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:35:32,333 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:36:32,334 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:37:32,335 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
2026-03-16 07:38:32,335 - CryptonioBot_v3 - INFO - Portfolio: 0 positions open, Risk used: $0.00
