Business Name,City,County,Phone,Address,Business Type,Source,Notes
A FAUSTINI WINES,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
ACCASBEL WINES,NAPA,Napa,,2405 LAUREL ST,Food Service,ABC License,Independent
ACCURSO WINES LLC,NAPA,Napa,,1500 LOS CARNEROS AVE,Food Service,ABC License,Independent
ACRE WINES,NAPA,Napa,,1031 MCKINSTRY ST,Food Service,ABC License,Independent
ADDAX WINES,NAPA,Napa,,1339 PEARL ST,Food Service,ABC License,Independent
ADVANTAGE WINE GROUP INC,NAPA,Napa,,1218 DAFFODIL DR,Food Service,ABC License,Independent
AESTHETIC WINES LLC,NAPA,Napa,,55 ENTERPRISE CT,Food Service,ABC License,Independent
AFTERWORDS WINES,NAPA,Napa,,190 CAMINO ORUGA,Food Service,ABC License,Independent
ALEBRIJE WINES,NAPA,Napa,,2494 TROWER AVE,Food Service,ABC License,Independent
ALPAS WINERY,NAPA,Napa,,2449 SHORELINE DR,Food Service,ABC License,Independent
ALPHA OMEGA WINERY,NAPA,Napa,,1239-1245 1ST ST,Food Service,ABC License,Independent
ALTA WINES LLC,NAPA,Napa,,2731 & 2747 NAPA VALLEY CORPORATE DR,Food Service,ABC License,Independent
ALTAMURA WINERY,NAPA,Napa,,1667 WOODEN VALLEY RD,Food Service,ABC License,Independent
AMAMI SUSHI BISTRO,NAPA,Napa,,1300 MAIN ST,Food Service,ABC License,Independent
AMAZON RANCH WINERY,NAPA,Napa,,3738 LINDA VISTA AVE,Food Service,ABC License,Independent
AMLES WINES,NAPA,Napa,,7633 SILVERADO TRL,Food Service,ABC License,Independent
AMMONS HORN WINES,NAPA,Napa,,3010 CUTTINGS WHARF RD,Food Service,ABC License,Independent
AMOR MATRIS WINERY,NAPA,Napa,,201 DEVLIN RD,Food Service,ABC License,Independent
ANCIEN WINES,NAPA,Napa,,1245 MAIN ST,Food Service,ABC License,Independent
ANDERS-LANE ARTISAN WINES,NAPA,Napa,,55 ENTERPRISE CT,Food Service,ABC License,Independent
ANGELE RESTAURANT & BAR,NAPA,Napa,,540 MAIN ST,Bar,ABC License,Independent
ANGRY KIWI WINES CORPORATION,NAPA,Napa,,1002 B TAMARISK DR,Food Service,ABC License,Independent
ANTHEM WINERY & VINEYARDS  LLC,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License,Independent
ANTHEM WINERY & VINEYARDS LLC,NAPA,Napa,,3123 DRY CREEK RD,Food Service,ABC License,Independent
AONAIR WINE,NAPA,Napa,,201 DEVLIN RD,Food Service,ABC License,Independent
APOSTLE WINE CO.,NAPA,Napa,,4420 DUMAS ST,Food Service,ABC License,Independent
ARATAS WINE,NAPA,Napa,,1221 DUHIG RD,Food Service,ABC License,Independent
ARBARETUM AT NAPA VALLEY DISTILLERY THE,NAPA,Napa,,1149 1ST ST,Bar,ABC License,Independent
ARCHIVAL WINE,NAPA,Napa,,3331 KENSINGTON CIR,Food Service,ABC License,Independent
ARDORE WINE,NAPA,Napa,,2232 BIG RANCH RD,Food Service,ABC License,Independent
