Business Name,City,County,State,Phone,Address,Type,Source,Category
ROB LAWSON WINES,CALISTOGA,Napa,CA,,965 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
RUBIO FAMILY WINES  LLC,CALISTOGA,Napa,CA,,4395 SCOTT WAY,Food Service,ABC License Data,ABC_LICENSE
SARAFORNIA CAFE INC,CALISTOGA,Napa,CA,,1413 LINCOLN AVE,Restaurant,ABC License Data,ABC_LICENSE
SCARLETT WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,ABC_LICENSE
SCULATTI WINE,CALISTOGA,Napa,CA,,1124 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
SELAH WINES,CALISTOGA,Napa,CA,,1127  MAPLE LN,Food Service,ABC License Data,ABC_LICENSE
SEPIA WINES  LLC,CALISTOGA,Napa,CA,,817 LOMMEL RD,Food Service,ABC License Data,ABC_LICENSE
SILVER OAK WINE CELLARS,CALISTOGA,Napa,CA,,1183 DUNAWEAL LN,Food Service,ABC License Data,ABC_LICENSE
SOLORIO FAMILY WINES,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,ABC_LICENSE
SOMNIUM WINE COMPANY  LLC,CALISTOGA,Napa,CA,,1307 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
STORMY WEATHER WINE LLC,CALISTOGA,Napa,CA,,3750 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
STORYBOOK MOUNTAIN WINERY,CALISTOGA,Napa,CA,,3835 STATE HIGHWAY 128,Food Service,ABC License Data,ABC_LICENSE
SUSHI MAMBO,CALISTOGA,Napa,CA,,1631 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
SWANSON VINEYARDS AND WINERY,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,ABC_LICENSE
T BERKLEY WINES,CALISTOGA,Napa,CA,,4451 N ST HELENA HWY,Food Service,ABC License Data,ABC_LICENSE
T-VINE WINERY,CALISTOGA,Napa,CA,,810 FOOTHILL BLVD,Food Service,ABC License Data,ABC_LICENSE
TANK GARAGE WINERY,CALISTOGA,Napa,CA,,1020 FOOTHILL BLVD,Food Service,ABC License Data,ABC_LICENSE
TEACHWORTH WINERY,CALISTOGA,Napa,CA,,4451 N ST HELENA HWY,Food Service,ABC License Data,ABC_LICENSE
TEDESCHI FAMILY WINERY,CALISTOGA,Napa,CA,,2779 GRANT ST,Food Service,ABC License Data,ABC_LICENSE
