Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
RESORT AT INDIAN SPRINGS LLC,CALISTOGA,Napa,,1712 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
REVERIE WINERY,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
RIOS WINE COMPANY LLC,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data,INDEPENDENT
RIVERS-MARIE WINES,CALISTOGA,Napa,,900 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
RJS BOUTIQUE WINES LLC,CALISTOGA,Napa,,3190 HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
ROB LAWSON WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
RUBIO FAMILY WINES  LLC,CALISTOGA,Napa,,4395 SCOTT WAY,Food Service,ABC License Data,INDEPENDENT
SARAFORNIA CAFE INC,CALISTOGA,Napa,,1413 LINCOLN AVE,Restaurant,ABC License Data,INDEPENDENT
SCARLETT WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
SCULATTI WINE,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
SELAH WINES,CALISTOGA,Napa,,1127  MAPLE LN,Food Service,ABC License Data,INDEPENDENT
SEPIA WINES  LLC,CALISTOGA,Napa,,817 LOMMEL RD,Food Service,ABC License Data,INDEPENDENT
SILVER OAK WINE CELLARS,CALISTOGA,Napa,,1183 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
SOLORIO FAMILY WINES,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
SOMNIUM WINE COMPANY  LLC,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
STORMY WEATHER WINE LLC,CALISTOGA,Napa,,3750 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
STORYBOOK MOUNTAIN WINERY,CALISTOGA,Napa,,3835 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
SUSHI MAMBO,CALISTOGA,Napa,,1631 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
SWANSON VINEYARDS AND WINERY,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License Data,INDEPENDENT
T BERKLEY WINES,CALISTOGA,Napa,,4451 N ST HELENA HWY,Food Service,ABC License Data,INDEPENDENT
T-VINE WINERY,CALISTOGA,Napa,,810 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
TANK GARAGE WINERY,CALISTOGA,Napa,,1020 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
TEACHWORTH WINERY,CALISTOGA,Napa,,4451 N ST HELENA HWY,Food Service,ABC License Data,INDEPENDENT
