Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
BURNING BARREL BREWING COMPANY,RANCHO CORDOVA,Sacramento,,2933 GOLD PAN CT,Bar,ABC License Data,INDEPENDENT
BUTCHER AND BARREL,SACRAMENTO,Sacramento,,723 K ST,Bar,ABC License Data,INDEPENDENT
C&B FOOD & LIQUOR,SACRAMENTO,Sacramento,,1812 BROADWAY,Food Service,ABC License Data,INDEPENDENT
CABALLO BLANCO RESTAURANTE,SACRAMENTO,Sacramento,,5604 FRANKLIN BLVD,Restaurant,ABC License Data,INDEPENDENT
CABANA CLUB,SACRAMENTO,Sacramento,,414 K ST,Food Service,ABC License Data,INDEPENDENT
CABANA WINE CORPORATION,SACRAMENTO,Sacramento,,2386 FAIR OAKS BLVD,Food Service,ABC License Data,INDEPENDENT
CAFE 33,SACRAMENTO,Sacramento,,1840 FULTON AVE,Restaurant,ABC License Data,INDEPENDENT
CAFE BERNARDO,SACRAMENTO,Sacramento,,1720 15TH ST,Restaurant,ABC License Data,INDEPENDENT
CAFE COLONIAL,SACRAMENTO,Sacramento,,3520 STOCKTON BLVD,Restaurant,ABC License Data,INDEPENDENT
CAFE CONNECTION,SACRAMENTO,Sacramento,,1007 L ST,Restaurant,ABC License Data,INDEPENDENT
CAFE DANTORELS,SACRAMENTO,Sacramento,,2700 24TH ST,Restaurant,ABC License Data,INDEPENDENT
CAFE MACAU,SACRAMENTO,Sacramento,,4406 DEL RIO RD,Restaurant,ABC License Data,INDEPENDENT
CAJUN & SUSHI HOUSE,ANTELOPE,Sacramento,,2921 ELVERTA RD,Food Service,ABC License Data,INDEPENDENT
CALIFORNIA FISH GRILL,CITRUS HEIGHTS,Sacramento,,5406 SUNRISE BLVD,Food Service,ABC License Data,INDEPENDENT
CALIFORNIA FISH GRILL,SACRAMENTO,Sacramento,,2100 ARDEN WAY,Food Service,ABC License Data,INDEPENDENT
CALIFORNIA PIZZA KITCHEN,SACRAMENTO,Sacramento,,1735 ARDEN WAY,Food Service,ABC License Data,INDEPENDENT
CALIFORNIA STREET TACOS,SACRAMENTO,Sacramento,,2101 16TH ST,Mexican Restaurant,ABC License Data,INDEPENDENT
CALIFORNIA WINE & LIQUOR,CARMICHAEL,Sacramento,,5008 EL CAMINO AVE,Food Service,ABC License Data,INDEPENDENT
CALVIN'S MARKET,SACRAMENTO,Sacramento,,2331 I ST,Food Service,ABC License Data,INDEPENDENT
CAMPUS COMMONS GOLF COURSE,SACRAMENTO,Sacramento,,2 CADILLAC DR,Food Service,ABC License Data,INDEPENDENT
CANDLE ROCK LOUNGE,SACRAMENTO,Sacramento,,2600 WATT AVE,Bar,ABC License Data,INDEPENDENT
CAPITAL FOOD & LIQUOR,SACRAMENTO,Sacramento,,10009 FOLSOM BLVD,Food Service,ABC License Data,INDEPENDENT
CAPITOL LIQUOR INC,SACRAMENTO,Sacramento,,6019 STOCKTON BLVD,Food Service,ABC License Data,INDEPENDENT
CAPS PIZZA AND TAP HOUSE,SACRAMENTO,Sacramento,,8760 LA RIVIERA DR,Food Service,ABC License Data,INDEPENDENT
CARIÑO MEXICAN RESTAURANT,SACRAMENTO,Sacramento,,729 J ST,Mexican Restaurant,ABC License Data,INDEPENDENT
CARNICERIA LA RANCHERITA MARKET,SACRAMENTO,Sacramento,,8275 FLORIN RD,Food Service,ABC License Data,INDEPENDENT
CARNICERIA LOPEZ MARKET,SACRAMENTO,Sacramento,,5550 FRANKLIN BLVD,Food Service,ABC License Data,INDEPENDENT
CAROLINA'S MEXICAN RESTAURANT 6,ANTELOPE,Sacramento,,4207 ELVERTA RD,Mexican Restaurant,ABC License Data,INDEPENDENT
CASA FLORES MEXICAN RESTAURANT,SACRAMENTO,Sacramento,,8304 DELTA SHORES CIR S,Mexican Restaurant,ABC License Data,INDEPENDENT
CASA RAMOS MEXICAN RESTAURANT,FOLSOM,Sacramento,,400 IRON POINT RD,Mexican Restaurant,ABC License Data,INDEPENDENT
CASA RAMOS MEXICAN RESTAURANT,RANCHO CORDOVA,Sacramento,,10717 WHITE ROCK RD,Mexican Restaurant,ABC License Data,INDEPENDENT
CAVERNA 57 WINE VAULTS,SACRAMENTO,Sacramento,,836 57TH ST  STE 120,Food Service,ABC License Data,INDEPENDENT
CELLAR WINE BAR THE,FOLSOM,Sacramento,,727 SUTTER ST,Bar,ABC License Data,INDEPENDENT
CENTENIAL RANCH SPORTS BAR AND GRILL,ELK GROVE,Sacramento,,10408 FRANKLIN BLVD,Bar,ABC License Data,INDEPENDENT
CENTRAL MARKET,WALNUT GROVE,Sacramento,,14174 STATE HIGHWAY 160,Food Service,ABC License Data,INDEPENDENT
CENTRO COCINA MEXICANA,SACRAMENTO,Sacramento,,2730 J ST,Mexican Restaurant,ABC License Data,INDEPENDENT
CF CHENG CHINESE CUISINE,SACRAMENTO,Sacramento,,2063 ARENA BLVD,Food Service,ABC License Data,INDEPENDENT
CH CAFE & GRILL,CITRUS HEIGHTS,Sacramento,,6215 SUNRISE BLVD,Restaurant,ABC License Data,INDEPENDENT
CHA THAI,RANCHO CORDOVA,Sacramento,,3225 ZINFANDEL DR,Asian Restaurant,ABC License Data,INDEPENDENT
CHANDOS TACOS,SACRAMENTO,Sacramento,,5665 POWER INN RD 104,Mexican Restaurant,ABC License Data,INDEPENDENT
