Business Name,City,County,Phone,Address,Business Type,Source
ACCURSO WINES LLC,NAPA,Napa,,1500 LOS CARNEROS AVE,Food Service,ABC License Data
ACRE WINES,NAPA,Napa,,1031 MCKINSTRY ST,Food Service,ABC License Data
ADDAX WINES,NAPA,Napa,,1339 PEARL ST,Food Service,ABC License Data
ADVANTAGE WINE GROUP INC,NAPA,Napa,,1218 DAFFODIL DR,Food Service,ABC License Data
AESTHETIC WINES LLC,NAPA,Napa,,55 ENTERPRISE CT,Food Service,ABC License Data
AFTERWORDS WINES,NAPA,Napa,,190 CAMINO ORUGA,Food Service,ABC License Data
ALEBRIJE WINES,NAPA,Napa,,2494 TROWER AVE,Food Service,ABC License Data
ALPAS WINERY,NAPA,Napa,,2449 SHORELINE DR,Food Service,ABC License Data
ALPHA OMEGA WINERY,NAPA,Napa,,1239-1245 1ST ST,Food Service,ABC License Data
ALTA WINES LLC,NAPA,Napa,,2731 & 2747 NAPA VALLEY CORPORATE DR,Food Service,ABC License Data
ALTAMURA WINERY,NAPA,Napa,,1667 WOODEN VALLEY RD,Food Service,ABC License Data
AMAMI SUSHI BISTRO,NAPA,Napa,,1300 MAIN ST,Food Service,ABC License Data
AMAZON RANCH WINERY,NAPA,Napa,,3738 LINDA VISTA AVE,Food Service,ABC License Data
AMLES WINES,NAPA,Napa,,7633 SILVERADO TRL,Food Service,ABC License Data
AMMONS HORN WINES,NAPA,Napa,,3010 CUTTINGS WHARF RD,Food Service,ABC License Data
AMOR MATRIS WINERY,NAPA,Napa,,201 DEVLIN RD,Food Service,ABC License Data
ANCIEN WINES,NAPA,Napa,,1245 MAIN ST,Food Service,ABC License Data
ANDERS-LANE ARTISAN WINES,NAPA,Napa,,55 ENTERPRISE CT,Food Service,ABC License Data
ANGELE RESTAURANT & BAR,NAPA,Napa,,540 MAIN ST,Bar,ABC License Data
ANGRY KIWI WINES CORPORATION,NAPA,Napa,,1002 B TAMARISK DR,Food Service,ABC License Data
